상호명,서비스,음식,편의성,가격,행정동,중분류,업종,naver_map_url
거자필반,2.19,4.34,2.32,2.83,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1282987678
인사이드,1.31,1.08,0.85,1.25,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/1205064094
옥순,1.54,1.35,0.98,1.76,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1305741341
미도갈비,3.25,4.45,2.46,2.33,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/1264295690
강가네떡볶이,2.21,2.17,2.05,1.72,종로1.2.3.4가동,분식,떡볶이전문,https://m.place.naver.com/restaurant/1991674359
소다만식품,1.12,1.03,0.93,1.27,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20875393
경복궁관훈점,1.88,1.46,1.01,1.69,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19563802
대가,1.47,1.79,1.2,1.94,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/18583521
이리오너라,0.89,0.74,0.5,0.83,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20833080
은하수,1.96,1.6,1.13,1.38,역삼1동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1148857962
김가네,1.1,0.91,0.86,0.96,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/31354069
호반,1.78,1.67,1.49,1.42,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37285489
시니테이블,2.33,2.37,1.97,1.91,서교동,한식,족발/보쌈전문,https://m.place.naver.com/restaurant/65237190
팔팔,3.1,2.87,1.93,3.61,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1140026252
카페더수,1.37,1.2,1.16,1.28,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1118043964
강호한정식,1.74,1.5,2.09,1.4,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1870350745
한솥,1.13,0.91,0.94,0.97,종로1.2.3.4가동,패스트푸드,도시락전문점,https://m.place.naver.com/restaurant/1286311897
우담가&해담가,1.83,2.2,0.91,1.58,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1699901907
모센즈스위트,1.83,2.42,1.52,3.83,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1021945903
취야벌국시,1.58,2.19,1.75,1.61,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/11572705
보타,1.51,1.37,0.9,2.13,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1112993932
롤링파스타,1.75,1.8,1.54,3.08,종로1.2.3.4가동,양식,스파게티전문점,https://m.place.naver.com/restaurant/1252605117
